fin_version;fin_scenario;0calmonth;key_rate;loan_rate;low_rate;upper_rate;;
FRC;OPTM;202909;0.06;0.0956;0.057;0.088908;;
FRC;OPTM;202910;0.06;0.0956;0.057;0.088908;;
FRC;OPTM;202911;0.06;0.0956;0.057;0.088908;;
FRC;OPTM;202912;0.06;0.0956;0.057;0.088908;;
FRC;OPTM;203001;0.06;0.0956;0.057;0.088908;;
FRC;OPTM;203002;0.06;0.0956;0.057;0.088908;;
FRC;OPTM;203003;0.06;0.0956;0.057;0.088908;;
FRC;OPTM;203004;0.06;0.0956;0.057;0.088908;;
FRC;OPTM;203005;0.06;0.0956;0.057;0.088908;;
FRC;OPTM;203006;0.05;0.0956;0.0475;0.088908;;
FRC;OPTM;203007;0.05;0.0956;0.0475;0.088908;;
FRC;OPTM;203008;0.05;0.0956;0.0475;0.088908;;
FRC;OPTM;203009;0.05;0.0956;0.0475;0.088908;;
FRC;OPTM;203010;0.05;0.0956;0.0475;0.088908;;
FRC;OPTM;203011;0.05;0.0956;0.0475;0.088908;;
FRC;OPTM;203012;0.05;0.0956;0.0475;0.088908;;
FRC;OPTM;203101;0.05;0.0956;0.0475;0.088908;;
FRC;OPTM;203102;0.05;0.0956;0.0475;0.088908;;
FRC;OPTM;203103;0.05;0.0956;0.0475;0.088908;;
FRC;OPTM;203104;0.05;0.0956;0.0475;0.088908;;
FRC;OPTM;203105;0.05;0.0956;0.0475;0.088908;;
FRC;OPTM;203106;0.05;0.0956;0.0475;0.088908;;
FRC;OPTM;203107;0.05;0.0956;0.0475;0.088908;;
FRC;OPTM;203108;0.05;0.0956;0.0475;0.088908;;
FRC;OPTM;203109;0.05;0.0956;0.0475;0.088908;;
FRC;OPTM;203110;0.05;0.0956;0.0475;0.088908;;
FRC;OPTM;203111;0.05;0.0956;0.0475;0.088908;;
FRC;OPTM;203112;0.05;0.0956;0.0475;0.088908;;
FRC;OPTM;203201;0.04;0.0956;0.038;0.088908;;
FRC;OPTM;203202;0.04;0.0956;0.038;0.088908;;
FRC;OPTM;203203;0.04;0.0956;0.038;0.088908;;
FRC;OPTM;203204;0.04;0.0956;0.038;0.088908;;
FRC;OPTM;203205;0.04;0.0956;0.038;0.088908;;
FRC;OPTM;203206;0.04;0.0956;0.038;0.088908;;
FRC;OPTM;203207;0.04;0.0956;0.038;0.088908;;
FRC;OPTM;203208;0.04;0.0956;0.038;0.088908;;
FRC;OPTM;203209;0.04;0.0956;0.038;0.088908;;
FRC;OPTM;203210;0.04;0.0956;0.038;0.088908;;
FRC;OPTM;203211;0.04;0.0956;0.038;0.088908;;
FRC;OPTM;203212;0.04;0.0956;0.038;0.088908;;
FRC;OPTM;203301;0.04;0.0956;0.038;0.088908;;
FRC;OPTM;203302;0.04;0.0956;0.038;0.088908;;
FRC;OPTM;203303;0.04;0.0956;0.038;0.088908;;
