fin_version,fin_scenario,fin_doc_num,0date,key_rate,spread,fix_rate,balance,loan,payment,balance_at_date,commissions_paid,commissions_received,rate,avg_balance,interest_accrued,ifrs_scope,paid_interest,impairment_stage,loan_reserve_ratio,loan_reserve,norev_cl_reserve_ratio,norev_cl_reserve,losses_prev_periods,change_loan_reserve,change_norev_cl_reserve,rw_loan,rwa_loan,rw_norev_credit_line,rwa_norev_credit_line,fin_leverage_loan_ratio,fin_leverage_loan,fin_leverage_norev_credit_line_ratio,fin_leverage_norev_credit_line
FCT,#,D0001,20251225,0.16,0.01,0.0,12059569394.38,0.0,0.0,12059569394.38,0.0,,0.17,12059569394.38,5616785.75,12173636770.24,0.0,1.0,0.0633,770591207.56,0.03165,90219100.01,,355542.5376791954,0.0,1.1,12543350118.957104,0.5,1380152693.4157572,1.0,11403045562.688274,0.5,1380152693.4157572
FCT,#,D0001,20250718,0.2,0.01,0.0,9888125858.31,0.0,0.0,9888125858.31,0.0,,0.21,9888125858.31,5689058.71,10006919097.03,0.0,1.0,0.0633,633437978.84,0.03165,161790816.58,,360117.4165329933,0.0,1.1,10310829230.001972,0.5,2475041662.552756,1.0,9373481118.18361,0.5,2475041662.552756
FCT,#,D0001,20250906,0.18,0.01,0.0,11652837739.66,0.0,0.0,11652837739.66,0.0,,0.19,11652837739.66,6065860.74,11711585809.73,0.0,1.0,0.0633,741343381.76,0.03165,105937685.54,,383968.9849176407,0.0,1.1,12067266670.76798,0.5,1620612287.4001195,1.0,10970242427.970888,0.5,1620612287.4001195
FCT,#,D0001,20250711,0.2,0.01,0.0,8931134921.79,360813662.8,0.0,9291948584.59,0.0,,0.21,9111541753.19,5346052.61,9371718706.94,0.0,1.0,0.0633,593229794.15,0.03165,180659827.3,,23177909.9854728,-11419752.427620051,1.1,9656337804.0712,0.5,2763695794.056136,1.0,8778488912.792,0.5,2763695794.056136
FCT,#,D0001,20250807,0.18,0.01,0.0,10247215442.36,261235472.5,0.0,10508450914.86,0.0,,0.19,10377833178.61,5470152.53,10576086848.76,0.0,1.0,0.0633,669466297.53,0.03165,142157528.54,,16882466.064463735,-8268102.704624981,1.1,10897282606.360806,0.5,2174695778.2976594,1.0,9906620551.237097,0.5,2174695778.2976594
FCT,#,D0001,20250708,0.2,0.01,0.0,8931134921.79,0.0,0.0,8931134921.79,0.0,,0.21,8931134921.79,5138461.19,8995282069.16,0.0,1.0,0.0633,569401354.98,0.03165,192079579.73,,325264.5931928158,0.0,1.1,9268468785.59557,0.5,2938392749.242327,1.0,8425880714.17779,0.5,2938392749.242327
FCT,#,D0001,20250928,0.17,0.01,0.0,12149475513.16,0.0,0.0,12149475513.16,0.0,,0.18,12149475513.16,5991522.17,12340809332.08,0.0,1.0,0.0633,781173230.72,0.03165,90219100.01,,379263.35341632366,0.0,1.1,12715599711.494282,0.5,1380152693.4157572,1.0,11559636101.358437,0.5,1380152693.4157572
FCT,#,D0001,20250717,0.2,0.01,0.0,9821914613.99,66211244.32,0.0,9888125858.31,0.0,,0.21,9855020236.15,5689058.71,10001230038.31,0.0,1.0,0.0633,633077861.43,0.03165,161790816.58,,4551289.181988955,-2095585.8827279808,1.1,10304967394.575855,0.5,2475041662.552756,1.0,9368152176.887142,0.5,2475041662.552756
FCT,#,D0001,20250830,0.18,0.01,0.0,11652837739.66,0.0,0.0,11652837739.66,0.0,,0.19,11652837739.66,6065860.74,11851461607.54,0.0,1.0,0.0633,750197519.76,0.03165,105937685.54,,383968.9849174023,0.0,1.1,12211390496.55917,0.5,1620612287.4001195,1.0,11101264087.781063,0.5,1620612287.4001195
FCT,#,D0001,20260227,0.16,0.01,0.0,12059569394.38,0.0,0.0,12059569394.38,0.0,,0.17,12059569394.38,5616785.75,12132236667.45,0.0,1.0,0.0633,767970581.05,0.03165,90219100.01,,355542.5376793146,0.0,1.1,12500692695.036066,0.5,1380152693.4157572,1.0,11364266086.396423,0.5,1380152693.4157572
FCT,#,D0001,20260120,0.16,0.01,0.0,12059569394.38,0.0,0.0,12059569394.38,0.0,,0.17,12059569394.38,5616785.75,12119139644.72,0.0,1.0,0.0633,767141539.51,0.03165,90219100.01,,355542.5376791954,0.0,1.1,12487197915.733534,0.5,1380152693.4157572,1.0,11351998105.212303,0.5,1380152693.4157572
FCT,#,D0001,20260325,0.15,0.01,0.0,12059569394.38,0.0,0.0,12059569394.38,0.0,,0.16,12059569394.38,5286386.58,12096328886.54,0.0,1.0,0.0633,765697618.52,0.03165,90219100.01,,334628.2707569599,0.0,1.1,12463694394.824003,0.5,1380152693.4157572,1.0,11330631268.02182,0.5,1380152693.4157572
FCT,#,D0001,20260113,0.16,0.01,0.0,12059569394.38,0.0,0.0,12059569394.38,0.0,,0.17,12059569394.38,5616785.75,12079822144.51,0.0,1.0,0.0633,764652741.75,0.03165,90219100.01,,355542.5376793146,0.0,1.1,12446686343.03464,0.5,1380152693.4157572,1.0,11315169402.758764,0.5,1380152693.4157572
FCT,#,D0001,20260202,0.16,0.01,0.0,12059569394.38,0.0,0.0,12059569394.38,0.0,,0.17,12059569394.38,5616785.75,11991817023.81,0.0,1.0,0.0633,759082017.61,0.03165,90219100.01,,355542.5376791954,0.0,1.1,12356008506.825735,0.5,1380152693.4157572,1.0,11232735006.205214,0.5,1380152693.4157572
FCT,#,D0001,20260201,0.16,0.01,0.0,12059569394.38,0.0,0.0,12059569394.38,0.0,,0.17,12059569394.38,5616785.75,11986200238.07,0.0,1.0,0.0633,758726475.07,0.03165,90219100.01,,355542.5376793146,0.0,1.1,12350221139.29732,0.5,1380152693.4157572,1.0,11227473762.997564,0.5,1380152693.4157572
FCT,#,D0001,20260326,0.15,0.01,0.0,12059569394.38,0.0,0.0,12059569394.38,0.0,,0.16,12059569394.38,5286386.58,12101615273.12,0.0,1.0,0.0633,766032246.79,0.03165,90219100.01,,334628.2707568407,0.0,1.1,12469141328.968391,0.5,1380152693.4157572,1.0,11335583026.334902,0.5,1380152693.4157572
